# l, t, x, y
0 0.0000 0.0650 0.2359
0 0.0902 0.0650 0.2359
0 0.1044 0.0680 0.2359
0 0.1151 0.0741 0.2359
0 0.1254 0.0772 0.2359
0 0.1363 0.0864 0.2328
0 0.1471 0.0987 0.2328
0 0.1586 0.1109 0.2298
0 0.1695 0.1262 0.2298
0 0.1803 0.1354 0.2267
0 0.1916 0.1385 0.2267
0 0.2025 0.1507 0.2267
0 0.2132 0.1507 0.2267
0 0.2240 0.1538 0.2267
0 0.2346 0.1599 0.2267
0 0.2452 0.1599 0.2267
0 0.2564 0.1630 0.2267
0 0.2672 0.1630 0.2267
0 0.2776 0.1661 0.2267
0 0.2888 0.1691 0.2237
0 0.2994 0.1722 0.2237
0 0.3103 0.1783 0.2237
0 0.3209 0.1814 0.2237
0 0.3311 0.1875 0.2237
0 0.3415 0.1906 0.2237
0 0.3522 0.1967 0.2237
0 0.3628 0.1998 0.2237
0 0.3737 0.2028 0.2237
0 0.3842 0.2059 0.2237
0 0.3950 0.2089 0.2206
0 0.4061 0.2120 0.2206
0 0.4165 0.2181 0.2206
0 0.4275 0.2181 0.2206
0 0.4380 0.2243 0.2206
0 0.4489 0.2273 0.2206
0 0.4597 0.2304 0.2206
0 0.4706 0.2396 0.2206
0 0.4813 0.2426 0.2206
0 0.4919 0.2488 0.2206
0 0.5028 0.2549 0.2206
0 0.5139 0.2610 0.2175
0 0.5252 0.2702 0.2175
0 0.5366 0.2733 0.2175
0 0.5477 0.2794 0.2175
0 0.5584 0.2917 0.2145
0 0.5694 0.2978 0.2145
0 0.5800 0.3100 0.2114
0 0.5911 0.3131 0.2114
0 0.6017 0.3192 0.2114
0 0.6125 0.3284 0.2083
0 0.6234 0.3346 0.2083
0 0.6339 0.3437 0.2083
0 0.6447 0.3591 0.2083
0 0.6557 0.3652 0.2083
0 0.6666 0.3744 0.2083
0 0.6776 0.3805 0.2053
0 0.6889 0.3866 0.2053
0 0.6998 0.3958 0.2053
0 0.7105 0.3989 0.2022
0 0.7215 0.4112 0.2022
0 0.7324 0.4142 0.2022
0 0.7426 0.4173 0.1991
0 0.7543 0.4265 0.1991
0 0.7652 0.4295 0.1991
0 0.7764 0.4326 0.1991
0 0.8476 0.4357 0.1991
0 0.8681 0.4387 0.2022
0 0.8789 0.4418 0.2053
0 0.8898 0.4449 0.2053
0 0.9004 0.4479 0.2083
0 0.9115 0.4540 0.2083
0 0.9227 0.4571 0.2114
0 0.9336 0.4602 0.2114
0 0.9447 0.4663 0.2114
0 0.9561 0.4694 0.2145
0 0.9670 0.4755 0.2145
0 0.9776 0.4786 0.2175
0 0.9891 0.4847 0.2206
0 0.9999 0.4877 0.2206
0 1.0107 0.4877 0.2237
0 1.0218 0.4939 0.2267
0 1.0327 0.4939 0.2267
0 1.0435 0.4969 0.2298
0 1.0551 0.5031 0.2359
0 1.0660 0.5061 0.2390
0 1.0769 0.5092 0.2451
0 1.0880 0.5123 0.2482
0 1.0985 0.5214 0.2543
0 1.1093 0.5245 0.2574
0 1.1204 0.5276 0.2604
0 1.1309 0.5368 0.2727
0 1.1411 0.5398 0.2757
0 1.1518 0.5429 0.2788
0 1.1625 0.5490 0.2880
0 1.1733 0.5490 0.2941
0 1.1837 0.5521 0.3002
0 1.1948 0.5582 0.3094
0 1.2057 0.5613 0.3156
0 1.2168 0.5643 0.3278
0 1.2279 0.5674 0.3309
0 1.2392 0.5674 0.3339
0 1.2504 0.5705 0.3462
0 1.2612 0.5735 0.3493
0 1.2728 0.5735 0.3554
0 1.2836 0.5735 0.3585
0 1.2946 0.5735 0.3615
0 1.3061 0.5766 0.3676
0 1.3169 0.5766 0.3738
0 1.3277 0.5766 0.3799
0 1.3386 0.5797 0.3891
0 1.3494 0.5797 0.3983
0 1.3604 0.5827 0.4075
0 1.3717 0.5827 0.4105
0 1.3826 0.5827 0.4228
0 1.3935 0.5827 0.4259
0 1.4047 0.5827 0.4320
0 1.4155 0.5827 0.4381
0 1.4264 0.5827 0.4412
0 1.4373 0.5827 0.4442
0 1.4482 0.5827 0.4442
0 1.4586 0.5827 0.4473
0 1.4697 0.5827 0.4473
0 1.4803 0.5797 0.4534
0 1.4913 0.5766 0.4534
0 1.5024 0.5735 0.4596
0 1.5132 0.5705 0.4626
0 1.5246 0.5674 0.4687
0 1.5354 0.5643 0.4718
0 1.5463 0.5613 0.4749
0 1.5573 0.5521 0.4810
0 1.5683 0.5490 0.4871
0 1.5790 0.5490 0.4902
0 1.5902 0.5368 0.4994
0 1.6010 0.5337 0.5055
0 1.6122 0.5276 0.5086
0 1.6232 0.5245 0.5116
0 1.6338 0.5245 0.5116
0 1.6445 0.5214 0.5147
0 1.6559 0.5184 0.5178
0 1.6668 0.5184 0.5178
0 1.6775 0.5184 0.5178
0 1.6885 0.5153 0.5178
0 1.6995 0.5153 0.5208
0 1.7107 0.5123 0.5208
0 1.7221 0.5123 0.5208
0 1.7327 0.5092 0.5239
0 1.7438 0.5092 0.5239
0 1.7549 0.5061 0.5239
0 1.7659 0.5031 0.5270
0 1.7770 0.5000 0.5270
0 1.7882 0.5000 0.5270
0 1.7986 0.4939 0.5270
